step,epoch,loss
49,0,2.741316556930542
99,0,2.38318133354187
149,0,2.347963809967041
199,0,2.1850271224975586
249,0,2.435418128967285
299,0,2.29231858253479
349,0,2.391542911529541
399,0,2.3731696605682373
449,0,2.3461954593658447
499,0,2.383653163909912
549,0,2.3297300338745117
599,0,2.5530591011047363
649,0,2.4700214862823486
699,0,2.3060901165008545
749,0,2.5212385654449463
799,0,2.237653970718384
849,0,2.357940912246704
899,0,2.290632963180542
949,0,2.3021743297576904
999,0,2.4177091121673584
1049,0,2.3958663940429688
1099,0,2.3315279483795166
1149,0,2.546544075012207
1199,0,2.3631744384765625
1249,0,2.4471070766448975
1299,0,2.474839210510254
1349,0,2.283196449279785
1399,0,2.4123058319091797
1449,0,2.3583950996398926
1499,0,2.3939576148986816
1549,0,2.4038970470428467
1599,0,2.3134424686431885
1649,0,2.498408794403076
1699,0,2.3125534057617188
1749,0,2.341171979904175
1799,0,2.3430118560791016
1849,0,2.3513638973236084
