step,epoch,loss
49,0,2.482440948486328
99,0,2.29020357131958
149,0,2.3434741497039795
199,0,2.4204111099243164
249,0,2.408538579940796
299,0,2.303048610687256
349,0,2.4362401962280273
399,0,2.4136598110198975
449,0,2.409600257873535
499,0,2.277433156967163
549,0,2.3450722694396973
599,0,2.368655204772949
649,0,2.2866525650024414
699,0,2.3425965309143066
749,0,2.345881700515747
799,0,2.448185682296753
849,0,2.393388271331787
899,0,2.312532663345337
949,0,2.3556032180786133
999,0,2.4227747917175293
1049,0,2.3520212173461914
1099,0,2.4728891849517822
1149,0,2.337498664855957
1199,0,2.4523205757141113
1249,0,2.336836338043213
1299,0,2.3846070766448975
1349,0,2.42140531539917
1399,0,2.2392232418060303
1449,0,2.3042759895324707
1499,0,2.3543412685394287
1549,0,2.310896396636963
1599,0,2.365107536315918
1649,0,2.330698013305664
1699,0,2.3637027740478516
1749,0,2.3467743396759033
1799,0,2.3042585849761963
1849,0,2.34926700592041
1899,1,2.312701463699341
1949,1,2.299576997756958
1999,1,2.3880398273468018
2049,1,2.2895591259002686
2099,1,2.336872100830078
2149,1,2.367889404296875
2199,1,2.5282692909240723
2249,1,2.3886501789093018
2299,1,2.3276236057281494
2349,1,2.433789014816284
2399,1,2.3211474418640137
2449,1,2.308344602584839
2499,1,2.4267375469207764
2549,1,2.3607735633850098
2599,1,2.3400933742523193
2649,1,2.48250150680542
2699,1,2.4188692569732666
2749,1,2.3553857803344727
2799,1,2.4057183265686035
2849,1,2.3161942958831787
2899,1,2.297734260559082
2949,1,2.3220267295837402
2999,1,2.3805716037750244
3049,1,2.390092372894287
3099,1,2.6304056644439697
3149,1,2.3296589851379395
3199,1,2.477098226547241
3249,1,2.3387155532836914
3299,1,2.286703586578369
3349,1,2.3482773303985596
3399,1,2.4169607162475586
3449,1,2.329296588897705
3499,1,2.281480550765991
3549,1,2.3426010608673096
3599,1,2.325904130935669
3649,1,2.5358917713165283
3699,1,2.2586185932159424
3749,1,2.2885549068450928
