step,epoch,loss
49,0,4.419726371765137
99,0,1.9626319408416748
149,0,2.085752248764038
199,0,1.9706915616989136
249,0,2.024435043334961
299,0,1.7914106845855713
349,0,1.7704378366470337
399,0,3.0159049034118652
449,0,2.0901613235473633
499,0,2.086851119995117
549,0,2.186152219772339
599,0,2.1601765155792236
649,0,1.735843300819397
699,0,2.214902639389038
749,0,1.9170451164245605
799,0,1.5624792575836182
849,0,2.669475555419922
899,0,5.501160144805908
949,0,2.342616081237793
999,0,1.8951293230056763
1049,0,2.307957649230957
1099,0,2.2573366165161133
1149,0,2.297322988510132
1199,0,2.3033182621002197
1249,0,2.344754219055176
1299,0,2.3167355060577393
1349,0,2.3319921493530273
1399,0,2.4167845249176025
1449,0,2.285250186920166
1499,0,2.341560125350952
1549,0,2.286799669265747
1599,0,2.2881739139556885
1649,0,2.349257469177246
1699,0,2.3449113368988037
1749,0,2.368939161300659
1799,0,2.334508180618286
1849,0,2.365185022354126
