step,epoch,loss
49,0,2.484220266342163
99,0,2.2873570919036865
149,0,2.3600218296051025
199,0,2.3033547401428223
249,0,2.3652215003967285
299,0,2.3638367652893066
349,0,2.284742832183838
399,0,2.3132340908050537
449,0,2.402421236038208
499,0,2.3211729526519775
549,0,2.3858189582824707
599,0,2.34263277053833
649,0,2.391460657119751
699,0,2.231539249420166
749,0,2.271636962890625
799,0,2.5064709186553955
849,0,2.4103028774261475
899,0,2.404109001159668
949,0,2.260331392288208
999,0,2.300586223602295
1049,0,2.30619215965271
1099,0,2.3506581783294678
1149,0,2.266083002090454
1199,0,2.4575304985046387
1249,0,2.3359880447387695
1299,0,2.313849687576294
1349,0,2.3560166358947754
1399,0,2.300168991088867
1449,0,2.3347840309143066
1499,0,2.2364916801452637
1549,0,2.3690905570983887
1599,0,2.472965955734253
1649,0,2.335195779800415
1699,0,2.282927989959717
1749,0,2.2855143547058105
1799,0,2.339890480041504
1849,0,2.4088995456695557
