step,epoch,loss
49,0,2.2781131267547607
99,0,2.3339760303497314
149,0,2.253619432449341
199,0,2.334838628768921
249,0,2.301511764526367
299,0,80.42200469970703
349,0,2.2995686531066895
399,0,2.3213629722595215
449,0,2.3293089866638184
499,0,2.3502116203308105
549,0,2.283280611038208
599,0,2.247201919555664
649,0,2.3248322010040283
699,0,2.3576319217681885
749,0,2.2787647247314453
799,0,2.3367013931274414
849,0,2.3777592182159424
899,0,2.351504325866699
949,0,2.3306798934936523
999,0,2.3445770740509033
1049,0,2.2942981719970703
1099,0,2.351250171661377
1149,0,2.3261773586273193
1199,0,2.4060213565826416
1249,0,2.3343563079833984
1299,0,2.356454849243164
1349,0,2.333549976348877
1399,0,2.2316606044769287
1449,0,2.319373846054077
1499,0,2.3329544067382812
1549,0,2.313502311706543
1599,0,2.283581018447876
1649,0,2.338850736618042
1699,0,2.3182735443115234
1749,0,2.3839523792266846
1799,0,2.367830276489258
1849,0,2.3246538639068604
