step,epoch,loss
49,0,2.3249990940093994
99,0,2.4814932346343994
149,0,2.223299503326416
199,0,2.39497971534729
249,0,2.3162193298339844
299,0,2.3720502853393555
349,0,2.3629868030548096
399,0,2.2817745208740234
449,0,2.4221017360687256
499,0,2.309640884399414
549,0,2.3252832889556885
599,0,2.462681531906128
649,0,2.3290066719055176
699,0,2.424360990524292
749,0,2.3169705867767334
799,0,2.4209768772125244
849,0,2.35654616355896
899,0,2.2557787895202637
949,0,2.316469192504883
999,0,2.2877259254455566
1049,0,2.434845447540283
1099,0,2.364863395690918
1149,0,2.353994846343994
1199,0,2.352614402770996
1249,0,2.3913283348083496
1299,0,2.4732143878936768
1349,0,2.3922927379608154
1399,0,2.3338608741760254
1449,0,2.384864330291748
1499,0,2.348726511001587
1549,0,2.2777841091156006
1599,0,2.4250755310058594
1649,0,2.326186180114746
1699,0,2.375575542449951
1749,0,2.364109516143799
1799,0,2.3373873233795166
1849,0,2.365628957748413
